"MEMBER
NAME
(LAST,
FIRST)",STATE,PROJECT NAME,"AMOUNT
REQUESTED
(In Thousands
of Dollars)","PROJECT
CITY   /
COUNTY &
STATE","RECIPIENT
NAME","RECIPIENT
ADDRESS",PROJECT PURPOSE,PROJECT JUSTIFICATION
N.",HI,Water Reclamation Facility Compliance Upgrade,"227,350","Kaneohe Bay,
HI","Marine Corps Base
Hawai'i","Box 63002
Marine Corps Base
Hawaii
Kaneohe Bay, Hawaii
96863","This project provides necessary upgrades to the water reclamation facility at Marine Corps Base Hawai'i (MCBH),
including construction of a parallel redundant treatment system to meet redundancy and reliability requirements
under State and Federal law. Additional upgrades include sewage treatment plant construction, tsunami mitigation
measures, and cybersecurity and antiterrorism features.
Completing this project would ensure resiliency in MCBH's water treatment capabilities and prevent further
unauthorized, harmful wastewater discharges into Kaneohe Bay that pose risks to public health and the
environment. The project will also save taxpayer dollars by ensuring that MCBH will not continue to get fined by
the State of Hawai'i for failing to comply with State and Federal laws under the Clean Water Act.","This project is supported by Governor Josh Green of Hawai'i, as well as local elected officials
representing Marine Corps Base Hawai'i: State Senator Jarrett Keohokalole, State Representative
Natalia Hussey-Burdick, and City Councilmember Esther Kia‘aina.

Given ongoing challenges with the military's environmental impacts in Hawai'i in the aftermath of the
Red Hill fuel spill, investments in local military infrastructure help rebuild public trust and relations
with the Department. This project would also mitigate unacceptable public health and environmental
risks from potential releases of wastewater into Kaneohe Bay, as has occurred numerous times in
recent years."

"Turner,
Michael R.",OH,Acquisition Management Complex Phase V,"19,800","Dayton, OH","Wright-Patterson Air
Force Base","5135 Pearson Rd. Bldg
10, Rm 206
Wright-Patterson AFB,
OH  45433","Provides a secure, modern, flexible acquisition facility equipped with the necessary information technology
systems to provide the warfighter essential equipment. The Air Force Life Cycle Management Center (AFLCMC),
designs, develops, and delivers dominant aerospace weapon systems and capabilities for the US Air Force, other
US military, allied and coalition-partner warfighters in support of Air Force leadership priorities. Currently
AFLCMC has reached the limit of serviceable, available secure space. This project will facilitate the consolidation
of multiple AFLCMC Directorates/PEOs: Command Staff, Acquisition Excellence and Program Execution,
Financial Management, Contracting and Plans and Programs Directorate, Fighters and Advanced Aircraft
Directorate, Bombers Directorate, Intelligence Surveillance Reconnaissance and Special Operations Forces
Directorate, Mobility and Training Aircraft Directorate, Agile Combat Support Directorate, and Architecture and
Integration. The AFLCMC consolidation effort includes consolidating multiple organizations and will allow them
to streamline and improve their mission performance of delivering war-winning expeditionary capabilities to the
warfighter through development and transition of technology, professional acquisition management, exacting test
and evaluation, and world-class sustainment of all Air Force weapon systems. The consolidation effort includes
government and Foreign Military Sales (FMS) and will allow them to streamline and improve their mission
performance.","The Acquisition Management Complex Phase V is a 214,200 square feet modern, secure,
flexible facility that will consolidate multiple organizations serving the Air Force Life Cycle
Management Center (AFLCMC), streamlining and improving their efficiency. The complex
houses acquisition workers (engineering, contracting, financial management, logistics, program
management, and other functions) who acquire, sustain, and modernize aircraft and related
weapons systems critical to national defense. AFLCMC anticipates without adequate facilities, it will
be unable to staff projected new positions which will delay systems needed by the
warfighter."

"Waltz,
Michael",FL,"Blount Island Communications Infrastructure
Modernization","30,520","Jacksonville,
FL",U.S. Marine Corps,"Blount Island
9620 Dave Rawls Blvd.

Jacksonville, FL
32226","Replaces and upgrades existing data and voice communication infrastructure throughout the installation to the
entry point of buildings, including excavation of existing underground communication utility routes, installation of
concrete-encased ductbank, replacement of deteriorated manholes and handholes, and replacement of fiber and
copper cable. Installs new underground communication infrastructure to add redundant loops to the system.
Provides a two-story concrete-framed Communications Center with reinforced concrete masonry unit walls,
standing seam metal roof, and pile foundations. Demolishes temporary trailer #TR002.",1391 Uploaded.

"Waltz,
Michael",FL,"Camp Blanding Automated Multipurpose Machine Gun
Range","11,000","Clay County,
FL",U.S. National Guard,"Camp Blanding
5629 FL-16 W
Starke, FL 32091","Construct an Automated Multipurpose Machine Gun Range at Camp Blanding to support Florida National Guard
training activities.",1391 attached.

"Waltz,
Michael",FL,Camp Blanding Scout RECCE Gunnery Complex,"23,000","Clay County,
FL",U.S. National Guard,"Camp Blanding
5629 FL-16 W
Starke, FL 32091",To construct Camp Blanding's Scout RECCE Gunnery Complex to assist the Florida National Guard's training.,1391 attached.

"Waltz,
Michael",FL,Camp Blanding Training Aids Center,"8,600","Clay County,
FL",U.S. National Guard,"Camp Blanding
5629 FL-16 W
Starke, FL 32091",To construct a new training aid center for Camp Blanding to assist the Florida National Guard's training activities.,1391 attached.

"Waltz,
Michael",FL,Camp Blanding Wedge Infantry Squad Battle Course,"8,400","Clay County,
FL",U.S. National Guard,"Camp Blanding
5629 FL-16 W
Starke, FL 32091",To construct a new squad battle course to assist the Florida National Guard's training.,DD1391 attached.

"Waltz,
Michael",FL,"Camp Bull Simons 7th Special Forces Group Child
Development Center","16,000","Crestview, FL",U.S. Army,"Camp Bull Simons
4545 Memorial Loop
Eglin Air Force Base,
FL 32542",Construct a Child Development Center to alleviate childcare concerns for the 7th Special Forces Group.,"Most of the 7th Special Forces Group lives near Crestview, and have up to 450 children under the age
of four who don't have access to a child development center.

https://weartv.com/news/local/members-of-armys-7th-special-force-group-fight-to-get-childcare-facility-
built-on-eglin"

"Waltz,
Michael",FL,"Eglin Air Force Base - LRSO Hardware Software
Development & Test Facility","14,600","Okaloosa
County, FL",U.S. Air Force,"Eglin Air Force Base
1701 State Road 85
North
Eglin AFB, FL 32542","Construct Multi-level secure environment with laboratory and administrative spaces to conduct hardware and
software research and development, testing, evaluation and validation  Air Force Nuclear Weapons Center
systems.",1391 attached.

"Waltz,
Michael",FL,"Jacksonville International Airport - Air National Guard F-
35 Munitions Storage Area Admin","6,000","Jacksonville,
FL","U.S. Air National
Guard","Jacksonville
International Airport
2400 Yankee Clipper
Dr
Jacksonville, FL 32218",Construct a new administrative building for the ANG's F-35 munitions storage area.,1391 attached.

"Waltz,
Michael",FL,"Jacksonville International Airport - Army National
Guard F-35 Weapons Load Trainer","8,000","Jacksonville,
FL","U.S. Air National
Guard","Jacksonville
International Airport
2400 Yankee Clipper
Dr
Jacksonville, FL 32218",Construct a F-35 Weapons Load Trainer to provide training for the Florida Air National Guard.,1391 attached.

"Waltz,
Michael",FL,"Patrick Space Force Base Cost to Complete Consolidated
Communications Center","15,000","Brevard, FL",U.S. Space Force,"Patrick Space Force
Base
20 Falcon Ave.
Building #720
Patrick Air Force Base,
FL 32925",Finish construction of a new Communications Center at Patrick Space Force Base.,1391 attached.
