member_name_last_first,state,project_name,amount_requested_in_thousands_of_dollars,project_city_county_state,recipient_name,recipient_address,project_purpose,project_justification,fiscal_year
Conditioning (HVAC); and plumbing, mechanical, security and electrical systems. Supporting facilities includ
repairs to paving and fencing, and utility connections. Accessibility for the disabled will be provided.
Antiterrorism force protection and physical security measures will be incorporated into the design including
maximum standoff distances from roads, parking areas and vehicle unloading areas. Sustainability/Energy
measures will be provided. Facilities will be designed to a minimum life of 25 years in accordance with DoD's
Unified Facilities Criteria (UFC 1-200-02) including energy efficiencies, building envelope and integrated
building systems performance. Dispose/Demolish 1 building at Joint Base McGuire-Dix-Lakehurst, NJ (4,960
Total SF).",2025
"Levin, Mike",CA,Emergency Repair of Basilone Road,75661,"Camp
Pendleton, CA","United States
Marine Corps","Camp Pendleton
Community Plans and
Liaison Office
(CPLO), AC/S G-7
Box 555010
Building 1160, Room
280
MCB Camp Pendleton,
CA 92055-5010","This project repairs the collapsing portion of Basilone Road between the 51 Area and 52 Area that occurred
following the storm events in late 2022 and early 2023. The section of the road developed large cracks and
experienced settlement and slope failures, which prompted the road's closure due to the potential for a large
landslide. A large geotechnical investigation was completed in support of this project to understand the repairs
that would be required to reopen the road. This project follows the recommendations of the geotechnical
investigation to mitigate the potential for a massive landslide and permanently stabilizes the road for traffic an
utilities.","This section of Basilone Road is a major corridor for utilities, including sewer, water, gas, electrical, and
telecommunications, and a landslide would cause the failure of not just the transportation corridor, but utility
service throughout the area. During the road's closure, mutual aid to surrounding communities has been
negatively impacted and response times have slowed. The project has a Federal nexus because the requested
funding would be for purposes authorized by 10 U.S.C. Chapter 169.",2025
"Moylan,
James C.",GA,PDI: Defense Access Roads III,241880,"Dededo, GU",Navy Base Guam,"Commander, Joint
Region Marianas
Public Affairs Office
PSC 455 Box 211
FPO AP, Guam 96540","This is a Defense Access Roads (DAR) project.
Constructs a single lane roundabout at Potts Junction. Proposed construction includes
removal and replacement of existing pavement as well as installation of new pavement.
Constructs concrete bridges to replace existing bridges in same locations along Route 1,
between Naval Base Guam and Finegayan Cantonment. Work for replacement of bridges includes
demolition of existing brdges and construction of new vehicle bridges.
Constructs strengthened roadways along Routes 1 and 3 to protect existing buried and
surface utilities. Work for minimizing impacts on the utilities includes strengthening the
pavement for one lane of travel in each direction. Pavement strengthening will consist of
thickened asphalt, aggregate base course, subbase and geogrid. Manholes, vaults and
surface utilities will be retrofitted or replaced as necessary.","If this project is not provided, there will be an increased rate of deterioration of the
roads, bridges and utilities, with high risk of failure. In some situations, (i.e. failed
cross culvert) a failure could render the road impassable. If a bridge were to
catastropically collapse or a culvert/utility were to collapse, injury, major property
damage, and even death could occur. A collapsed bridge or a collapsed culvert/utility
would disrupt the roadway network and cause significant inconvenience and economic impact
to Guam, and greatly impact military operations for those who rely on Routes 1 and 3.
Additionally, emergency services could be significantly impacted as detours of up to 35
miles would be required for some of the areas on Route 1. Furthermore, the level of
service of traffic traversing through the Potts Junction intersection will be
significantly degraded. The increased level of congestion is not acceptable and will
contribute negatively to the successful completion of the new mission facilities required
to support the relocation of Marines from Okinawa to Guam.",2025
"Rogers, Mike",AL,Replace General Purpose Warehouse,34200,"Calhoun
County, AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","Replace a general-purpose warehouse to facilitate and enable critical logistics functions related to the
manufacturing, distribution, storage, and repair of critical weapons and equipment at Anniston Army Depot.","Anniston Army Depot is the number-one employer in Chairman Rogers' district and will remain so for years to
come. This project has significant community support due to the capacity increases it will enable at the depot.
This capacity increase will allow for increased defense industry activity, economic expansion, and jobs
creation. If the project is unfunded, Anniston Army Depot will experience significant logistical constraints
related to the manufacturing, distribution, storage, and repair of critical weapons and equipment at Anniston
Army Depot.",2025
"Rogers, Mike",AL,Small Arms Warehouse,73800,"Calhoun
County, AL","Anniston Army
Depot","7 Frankford Ave,
Anniston, AL 36201","Construct a small arms warehouse to facilitate and enable critical logistics functions related to the
manufacturing, distribution, storage, and repair of small arms at Anniston Army Depot.","Anniston Army Depot is the number-one employer in Chairman Rogers' district and will remain so for years to
come. This project has significant community support due to the capacity increases it will enable at the depot.
This capacity increase will allow for increased defense industry activity, economic expansion, and jobs
creation. If the project is unfunded, Anniston Army Depot will experience significant logistical constraints
related to the manufacturing, distribution, storage, and repair of small arms at Anniston Army Depot.",2025
"Rutherford,
John H.",FL,"P909 Waterfront Emergency Power Planning and
Design",66650,"Mayport, FL","Naval Station
Mayport","Box 280032
Mayport, FL 32228","This provides the planning and design funding for an emergency power station and electrical grid
improvements to sustain essential mission capability up to and including a Category 2 Hurricane.  The
objective of this project is to create an organic emergency electrical power generating capability sufficient to
supply the waterfront independently within 72 hours of passage of a storm or immediately following an
incident disrupting Jacksonville Electric Authority (JEA) power supply.  This project would be capable of
