last_name,first_name,middle_name,suffix,nickname,full_name,name_comma,party,birthday,gender,type,state,district,senate_class,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Baird,James,R.,,,James R. Baird,"Baird, James R.",Republican,1945-06-04,M,rep,IN,4,,https://baird.house.gov,2303 Rayburn House Office Building Washington DC 20515-1404,202-225-5037,,,RepJimBaird,1086316494450032640,RepJimBaird,UCAe6fGhotC9J9tR_QONYzFA,,,B001307,,N00041954,,H8IN04199,,412777,86013,James Baird,,21903,Jim Baird (politician)
Balderson,Troy,,,,Troy Balderson,"Balderson, Troy",Republican,1962-01-16,M,rep,OH,12,,https://balderson.house.gov,2429 Rayburn House Office Building Washington DC 20515-3512,202-225-5355,,,RepBalderson,1037341536592310272,RepTroyBalderson,UCm6vJzx-mu4Xr56FnQKRz0w,,,B001306,,N00042194,,H8OH12180,,412747,102781,Troy Balderson,,21759,Troy Balderson
Baldwin,Tammy,,,,Tammy Baldwin,"Baldwin, Tammy",Democrat,1962-02-11,F,sen,WI,,1,https://www.baldwin.senate.gov,141 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,1074518754,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,,B001230,1558,N00004367,S354,"H8WI00018,S2WI00219",57884,400013,3470,Tammy Baldwin,,29940,Tammy Baldwin
Balint,Becca,A.,,,Becca Balint,"Balint, Becca A.",Democrat,1968-05-04,F,rep,VT,0,,https://balint.house.gov,1510 Longworth House Office Building Washington DC 20515-4500,202-225-4115,,,RepBeccaB,1606115178210365448,repbeccab,YouTubeChannelID,,,B001318,,N00049900,,H2VT01076,,456948,154056,Becca Balint,,,Becca Balint
Banks,Jim,,,,Jim Banks,"Banks, Jim",Republican,1979-07-16,M,sen,IN,,1,https://www.banks.senate.gov,303 Hart Senate Office Building Washington DC 20510,202-224-4814,,,RepJimBanks,816131319033950208,RepJimBanks,,UC_FR6TySW9uxvhjozkis6Xg,,B001299,,N00037185,S429,"H6IN03229,S4IN00196",89806,412702,116801,Jim Banks,,21702,Jim Banks
Barr,Garland,,,Andy,Andy Barr,"Barr, Garland",Republican,1973-07-24,M,rep,KY,6,,https://barr.house.gov,2430 Rayburn House Office Building Washington DC 20515-1706,202-225-4706,,http://barr.house.gov/rss.xml,RepAndyBarr,1089334250,RepAndyBarr,RepAndyBarr,UCVL2s6x7f7H0ZJ-uwU0pQ6Q,,B001282,2131,N00031233,,H0KY06104,61848,412541,117290,Andy Barr,,21333,Andy Barr
Barragán,Nanette,Diaz,,,Nanette Diaz Barragán,"Barragán, Nanette Diaz",Democrat,1976-09-15,F,rep,CA,44,,https://barragan.house.gov,2312 Rayburn House Office Building Washington DC 20515-0544,202-225-8220,,,RepBarragan,816833925456789505,CongresswomanBarragan,,,,B001300,,N00037019,,H6CA44103,104730,412687,166270,Nanette Barragán,,21703,Nanette Barragán
Barrasso,John,A.,,,John Barrasso,"Barrasso, John A.",Republican,1952-07-21,M,sen,WY,,1,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,202206694,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,,B001261,1881,N00006236,S317,S6WY00068,1024777,412251,52662,John Barrasso,,40707,John Barrasso
Barrett,Tom,More,,,Tom Barrett,"Barrett, Tom More",Republican,1981-04-30,M,rep,MI,7,,https://barrett.house.gov,1232 Longworth House Office Building Washington DC 20515-2207,202-225-4872,,,reptombarrett,,RepTomBarrett,,,,B001321,,N00049596,,H2MI07123,,456994,153540,Tom Barrett (Michigan),,,Tom Barrett (Michigan politician)
Baumgartner,Michael,James,,,Michael Baumgartner,"Baumgartner, Michael James",Republican,1975-12-13,M,rep,WA,5,,https://baumgartner.house.gov,124 Cannon House Office Building Washington DC 20515-4705,202-225-2006,,,repbaumgartner,,RepBaumgartner,,,,B001322,,N00033716,,H4WA05234,,457029,126301,,,,Michael Baumgartner
Bean,Aaron,Paul,,,Aaron Bean,"Bean, Aaron Paul",Republican,1967-01-25,M,rep,FL,4,,https://bean.house.gov,2459 Rayburn House Office Building Washington DC 20515-0904,202-225-0123,,,RepAaronBean,1604927550081359875,100089355874563,,,,B001314,,N00051369,,H2FL04211,,456888,53932,Aaron Bean,,,Aaron Bean
Beatty,Joyce,,,,Joyce Beatty,"Beatty, Joyce",Democrat,1950-03-12,F,rep,OH,3,,https://beatty.house.gov,2079 Rayburn House Office Building Washington DC 20515-3503,202-225-4324,,http://beatty.house.gov/rss.xml,RepBeatty,1531521632,RepJoyceBeatty,,UCtVl3kb7Xvt3pY7l6x-M6LA,,B001281,2153,N00033904,,H2OH03125,67294,412565,2427,Joyce Beatty,,21352,Joyce Beatty
Begich,Nicholas,Joseph,III,,Nicholas J. Begich III,"Begich, Nicholas Joseph",Republican,1977-10-21,M,rep,AK,0,,https://begich.house.gov,153 Cannon House Office Building Washington DC 20515-0200,202-225-5765,,,repnickbegich,,RepNickBegich,,,,B001323,,N00049408,,H2AK01083,,456970,207684,Nicholas Begich,,,Nick Begich III
Bell,Wesley,Jonell-Cleavon,,,Wesley Bell,"Bell, Wesley Jonell-Cleavon",Democrat,1974-11-05,M,rep,MO,1,,https://bell.house.gov,1429 Longworth House Office Building Washington DC 20515-2501,202-225-2406,,,RepWesleyBellMO,,61571538239904,,,,B001324,,N00053042,,H4MO01134,,456997,217416,Wesley Bell,,,Wesley Bell
Bennet,Michael,F.,,,Michael F. Bennet,"Bennet, Michael F.",Democrat,1964-11-28,M,sen,CO,,3,https://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact,http://www.bennet.senate.gov/rss/feeds/?type=news,SenatorBennet,224285242,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,,B001267,1965,N00030608,S330,S0CO00211,1031622,412330,110942,Michael Bennet,,40910,Michael Bennet
Bentz,Cliff,Stewart,,,Cliff Bentz,"Bentz, Cliff Stewart",Republican,1952-01-12,M,rep,OR,2,,https://bentz.house.gov,409 Cannon House Office Building Washington DC 20515-3702,202-225-6730,,,RepBentz,1345788865911656454,RepBentz,,,,B000668,,N00045773,,H0OR02127,,456842,102400,Cliff Bentz,,,Cliff Bentz
Bera,Ami,,,,Ami Bera,"Bera, Ami",Democrat,1965-03-02,M,rep,CA,6,,https://bera.house.gov,172 Cannon House Office Building Washington DC 20515-0506,202-225-5716,,http://bera.house.gov/rss.xml,RepBera,950783972,RepAmiBera,repamibera,UClJCTCo53Zk6b4kUL-bbdzg,,B001287,2102,N00030717,,H0CA03078,1033636,412512,120030,Ami Bera,,21304,Ami Bera
Bergman,Jack,,,,Jack Bergman,"Bergman, Jack",Republican,1947-02-02,M,rep,MI,1,,https://bergman.house.gov,566 Cannon House Office Building Washington DC 20515-2201,202-225-4735,,,RepJackBergman,815241612154417152,RepJackBergman,RepJackBergman,,,B001301,,N00039533,,H6MI01226,1020529,412709,170172,Jack Bergman,,21704,Jack Bergman
Beyer,Donald,S.,Jr.,,"Donald S. Beyer, Jr.","Beyer, Donald S.",Democrat,1950-06-20,M,rep,VA,8,,https://beyer.house.gov,1226 Longworth House Office Building Washington DC 20515-4608,202-225-4376,,,RepDonBeyer,2962868158,RepDonBeyer,,UCPJGVbOVcAVGiBwq8qr_T9w,@RepDonBeyer@mas.to,B001292,2272,N00036018,,H4VA08224,21141,412657,1707,Don Beyer,,21554,Don Beyer
Bice,Stephanie,I.,,,Stephanie I. Bice,"Bice, Stephanie I.",Republican,1973-11-11,F,rep,OK,5,,https://bice.house.gov,2402 Rayburn House Office Building Washington DC 20515-3605,202-225-2132,,,RepBice,1344260196227555334,RepStephanieBice,,,,B000740,,N00044579,,H0OK05205,,456841,152294,Stephanie Bice,,,Stephanie Bice
Biggs,Andy,,,,Andy Biggs,"Biggs, Andy",Republican,1958-11-07,M,rep,AZ,5,,https://biggs.house.gov,464 Cannon House Office Building Washington DC 20515-0305,202-225-2635,,,RepAndyBiggsAZ,816652616625168388,RepAndyBiggs,,UCqSq9kWOxk9yNTeILBCVC1w,,B001302,,N00039293,,H6AZ05083,105145,412683,28088,Andy Biggs,,21705,Andy Biggs
Biggs,Sheri,Lynn,,,Sheri Biggs,"Biggs, Sheri Lynn",Republican,1970-03-28,F,rep,SC,3,,https://sheribiggs.house.gov,1530 Longworth House Office Building Washington DC 20515-4003,202-225-5301,,,repsheribiggs,,RepSheriBiggs,,,,B001325,,N00054222,,H4SC01313,,457020,216183,Sheri Biggs,,,Sheri Biggs
Bilirakis,Gus,M.,,,Gus M. Bilirakis,"Bilirakis, Gus M.",Republican,1963-02-08,M,rep,FL,12,,https://bilirakis.house.gov,2306 Rayburn House Office Building Washington DC 20515-0912,202-225-5755,,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,26051676,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,,B001257,1838,N00027462,,H6FL09070,1022873,412250,17318,Gus M. Bilirakis,,20758,Gus Bilirakis
Bishop,Sanford,D.,Jr.,,"Sanford D. Bishop, Jr.","Bishop, Sanford D.",Democrat,1947-02-04,M,rep,GA,2,,https://bishop.house.gov,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,,http://bishop.house.gov/rss.xml,SanfordBishop,249410485,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,,B000490,91,N00002674,,H2GA02031,26194,400030,26817,Sanford Bishop Jr.,,29339,Sanford Bishop
Blackburn,Marsha,W.,,,Marsha Blackburn,"Blackburn, Marsha W.",Republican,1952-06-06,F,sen,TN,,1,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.blackburn.senate.gov/email-me,,MarshaBlackburn,278145569,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,,B001243,1748,N00003105,S396,"H2TN06030,S8TN00337",31226,400032,25186,Marsha Blackburn,,20351,Marsha Blackburn
Blumenthal,Richard,,,,Richard Blumenthal,"Blumenthal, Richard",Democrat,1946-02-13,M,sen,CT,,3,https://www.blumenthal.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,278124059,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,,B001277,2076,N00031685,S341,S0CT00177,21799,412490,1568,Richard Blumenthal,,41101,Richard Blumenthal
Blunt Rochester,Lisa,,,,Lisa Blunt Rochester,"Blunt Rochester, Lisa",Democrat,1962-02-10,F,sen,DE,,1,https://www.bluntrochester.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,,,SenLBR,817050219007328258,Rep.BluntRochester,,,,B001303,,N00038414,S430,"H6DE00206,S4DE00060",104772,412689,173249,Lisa Blunt Rochester,,21706,Lisa Blunt Rochester
Boebert,Lauren,Opal,,,Lauren Boebert,"Boebert, Lauren Opal",Republican,1986-12-15,F,rep,CO,4,,https://boebert.house.gov,1713 Longworth House Office Building Washington DC 20515-0604,202-225-4761,,,RepBoebert,1342989756611907584,RepBoebert,,,,B000825,,N00045974,,H0CO03165,,456805,191290,Lauren Boebert,,,Lauren Boebert
Bonamici,Suzanne,,,,Suzanne Bonamici,"Bonamici, Suzanne",Democrat,1954-10-14,F,rep,OR,1,,https://bonamici.house.gov,2231 Rayburn House Office Building Washington DC 20515-3701,202-225-0855,,http://bonamici.house.gov/rss.xml,RepBonamici,558769636,congresswomanbonamici,RepSuzanneBonamici,UC0IkAeEiwgzSRTD1TDSvuBw,,B001278,2092,N00033474,,H2OR01133,63966,412501,59641,Suzanne Bonamici,,21198,Suzanne Bonamici
Booker,Cory,Anthony,,,Cory A. Booker,"Booker, Cory Anthony",Democrat,1969-04-27,M,sen,NJ,,2,https://www.booker.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3224,https://www.booker.senate.gov/?p=contact,,SenBooker,2167097881,SenatorCoryBooker,SenCoryBooker,UC6FlymqNS1VettnVZa7goPA,,B001288,2194,N00035267,S370,S4NJ00185,84679,412598,76151,Cory Booker,,41308,Cory Booker
Boozman,John,,,,John Boozman,"Boozman, John",Republican,1950-12-10,M,sen,AR,,3,https://www.boozman.senate.gov/public,555 Dirksen Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,5558312,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,,B001236,1687,N00013873,S343,"H2AR03176,S0AR00150",92069,400040,27958,John Boozman,,20101,John Boozman
Bost,Mike,,,,Mike Bost,"Bost, Mike",Republican,1960-12-30,M,rep,IL,12,,https://bost.house.gov,352 Cannon House Office Building Washington DC 20515-1312,202-225-5661,,,RepBost,2964877294,RepBost,,UCYA1psY06vSf3QadHuCrmjQ,,B001295,2243,N00035420,,H4IL12060,76176,412629,6302,Mike Bost,,21519,Mike Bost
Boyle,Brendan,F.,,,Brendan F. Boyle,"Boyle, Brendan F.",Democrat,1977-02-06,M,rep,PA,2,,https://boyle.house.gov,1502 Longworth House Office Building Washington DC 20515-3802,202-225-6111,,,CongBoyle,4304448314,CongressmanBoyle,,UCMP_Anj7lz4eZuSh8GwFqQQ,,B001296,2267,N00035307,,H4PA13199,76428,412652,47357,Brendan Boyle,,21548,Brendan Boyle
Brecheen,Josh,Chad,,,Josh Brecheen,"Brecheen, Josh Chad",Republican,1979-06-19,M,rep,OK,2,,https://brecheen.house.gov,351 Cannon House Office Building Washington DC 20515-3602,202-225-2701,,,repbrecheen,,100089040632497,UCSX3nV53o-1-e0nFA6pPs2w,,,B001317,,N00051106,,H2OK02315,,456931,124973,Josh Brecheen,,,Josh Brecheen
Bresnahan,Robert,P.,Jr.,,"Robert P. Bresnahan, Jr.","Bresnahan, Robert P.",Republican,1990-04-22,M,rep,PA,8,,https://bresnahan.house.gov,1133 Longworth House Office Building Washington DC 20515-3808,202-225-5546,,,RepBresnahan,,RepBresnahan,,,,B001327,,N00053588,,H4PA08124,,457018,214735,Rob Bresnahan Jr.,,,Rob Bresnahan
Britt,Katie,Elizabeth,,,Katie Boyd Britt,"Britt, Katie Elizabeth",Republican,1982-02-02,F,sen,AL,,3,https://www.britt.senate.gov,416 Russell Senate Office Building Washington DC 20510,202-224-5744,https://www.britt.senate.gov/contact/,,SenKatieBritt,,senkatiebritt,UCbrYQF8n5ftTPqn8ZNo5vYw,,,B001319,,N00048812,S416,S2AL00145,,456874,201704,Katie Britt,,,Katie Britt
Brown,Shontel,M.,,,Shontel M. Brown,"Brown, Shontel M.",Democrat,1975-06-24,F,rep,OH,11,,https://shontelbrown.house.gov,2455 Rayburn House Office Building Washington DC 20515-3511,202-225-7032,,,RepShontelBrown,1456381091598700556,RepShontelBrown,,,@RepShontelBrown@mastodon.social,B001313,,N00047875,,H2OH11169,,456863,161622,Shontel Brown,,,Shontel Brown
Brownley,Julia,,,,Julia Brownley,"Brownley, Julia",Democrat,1952-08-28,F,rep,CA,26,,https://juliabrownley.house.gov,2262 Rayburn House Office Building Washington DC 20515-0526,202-225-5811,,http://juliabrownley.house.gov/rss.xml,RepBrownley,1243902714,RepJuliaBrownley,RepJuliaBrownley,UCFrC4Ouk5R6xQztS9PZin_A,,B001285,2106,N00034254,,H2CA00120,67561,412516,59904,Julia Brownley,,21308,Julia Brownley
Buchanan,Vern,,,,Vern Buchanan,"Buchanan, Vern",Republican,1951-05-08,M,rep,FL,16,,https://buchanan.house.gov,2409 Rayburn House Office Building Washington DC 20515-0916,202-225-5015,,http://buchanan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,VernBuchanan,20467163,CongressmanBuchanan,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw,,B001260,1840,N00027626,,H6FL13148,1021626,412196,66247,Vern Buchanan,,20709,Vern Buchanan
Budd,Ted,,,,Ted Budd,"Budd, Ted",Republican,1971-10-21,M,sen,NC,,3,https://www.budd.senate.gov,354 Russell Senate Office Building Washington DC 20510,202-224-3154,https://www.budd.senate.gov/contact/,,RepTedBudd,817138492614524928,RepTedBudd,@sentedbudd,,,B001305,,N00039551,S417,"H6NC13129,S2NC00505",103513,412712,171489,Ted Budd,,21708,Ted Budd
Budzinski,Nicole (Nikki),Jai,,,Nikki Budzinski,"Budzinski, Nicole (Nikki) Jai",Democrat,1977-03-11,F,rep,IL,13,,https://budzinski.house.gov,1717 Longworth House Office Building Washington DC 20515-1313,202-225-2371,,,RepNikkiB,1603476713995911168,RepNikkiBudzinski,UCp0Ykb-qUGx3ekTH9MIEK-w,,,B001315,,N00049102,,H2IL13153,,456901,204328,Nikki Budzinski,,,Nikki Budzinski
Burchett,Tim,,,,Tim Burchett,"Burchett, Tim",Republican,1964-08-25,M,rep,TN,2,,https://burchett.house.gov,1122 Longworth House Office Building Washington DC 20515-4202,202-225-5435,,,RepTimBurchett,1028854804087492613,,,,,B001309,,N00041594,,H8TN02119,,412817,24379,Tim Burchett,,21905,Tim Burchett
Burlison,Eric,Wayne,,,Eric Burlison,"Burlison, Eric Wayne",Republican,1976-10-02,M,rep,MO,7,,https://burlison.house.gov,1108 Longworth House Office Building Washington DC 20515-2507,202-225-6536,,,RepEricBurlison,1606342594765590528,100089208900263,UCuJFygzYhGiXMZHjhTQy20w,,,B001316,,N00049123,,H2MO07143,,456910,104635,Eric Burlison,,,Eric Burlison
Bynum,Janelle,S.,,,Janelle S. Bynum,"Bynum, Janelle S.",Democrat,1975-01-31,F,rep,OR,5,,https://bynum.house.gov,1508 Longworth House Office Building Washington DC 20515-3705,202-225-5711,,,RepBynum,,repbynum,,,,B001326,,N00052777,,H4OR05304,,457016,168102,Janelle Bynum,,,Janelle Bynum
Calvert,Ken,S.,,,Ken Calvert,"Calvert, Ken S.",Republican,1953-06-08,M,rep,CA,41,,https://calvert.house.gov,2205 Rayburn House Office Building Washington DC 20515-0541,202-225-1986,,http://calvert.house.gov/news/rss.aspx,KenCalvert,22545491,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A,,C000059,165,N00007099,,H2CA37023,26709,400057,26777,Ken Calvert,,29323,Ken Calvert
Cammack,Katherine,,,Kat,Kat Cammack,"Cammack, Katherine",Republican,1988-02-16,F,rep,FL,3,,https://cammack.house.gov,2421 Rayburn House Office Building Washington DC 20515-0903,202-225-5744,,,RepKatCammack,1344325638983987201,RepKatCammack,,,,C001039,,N00045978,,H0FL03175,,456806,191306,Kat Cammack,,,Kat Cammack
Cantwell,Maria,,,,Maria Cantwell,"Cantwell, Maria",Democrat,1958-10-13,F,sen,WA,,1,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,https://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,117501995,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,,C000127,172,N00007836,S275,"S8WA00194,H2WA01054",26137,300018,27122,Maria Cantwell,,39310,Maria Cantwell
Capito,Shelley,Moore,,,Shelley Moore Capito,"Capito, Shelley Moore",Republican,1953-11-26,F,sen,WV,,2,https://www.capito.senate.gov,170 Russell Senate Office Building Washington DC 20510,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley,,SenCapito,193794406,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw,,C001047,1676,N00009771,S372,"H0WV02138,S4WV00159",83737,400061,11701,Shelley Moore Capito,,20146,Shelley Moore Capito
Carbajal,Salud,O.,,,Salud O. Carbajal,"Carbajal, Salud O.",Democrat,1964-11-18,M,rep,CA,24,,https://carbajal.house.gov,2331 Rayburn House Office Building Washington DC 20515-0524,202-225-3601,,,RepCarbajal,816157667882373120,repsaludcarbajal,repcarbajal,,,C001112,,N00037015,,H6CA24303,104728,412686,81569,Salud Carbajal,,21709,Salud Carbajal
Carey,Mike,,,,Mike Carey,"Carey, Mike",Republican,1971-03-13,M,rep,OH,15,,https://carey.house.gov,1433 Longworth House Office Building Washington DC 20515-3515,202-225-2015,,,RepMikeCarey,1457745193197780993,RepMikeCarey,@congressmanmikecarey,,,C001126,,N00048568,,H2OH15228,,456864,196349,Mike Carey (Ohio),,,Mike Carey (politician)
Carson,André,,,,André Carson,"Carson, André",Democrat,1974-10-16,M,rep,IN,7,,https://carson.house.gov,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,,http://carson.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,RepAndreCarson,199325935,CongressmanAndreCarson,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw,,C001072,1889,N00029513,,H8IN07184,1027364,412258,84917,Andre Carson,,20757,André Carson
Carter,John,R.,,,John R. Carter,"Carter, John R.",Republican,1941-11-06,M,rep,TX,31,,https://carter.house.gov,2208 Rayburn House Office Building Washington DC 20515-4331,202-225-3864,,http://carter.house.gov/common/rss/?rss=40,JudgeCarter,18030431,judgecarter,repjohncarter,UC9pkaOrhPfouzkJ8oAdI-1w,,C001051,1752,N00025095,,H2TX31044,1004257,400068,49296,John Carter,,20356,John Carter (Texas politician)
