"MEMBER NAME
(LAST, FIRST)",STATE,PROJECT NAME,"AMOUNT
REQUESTED
(In Thousands
of Dollars)","PROJECT
CITY /
COUNTY &
STATE","RECIPIENT
NAME","RECIPIENT
ADDRESS",PROJECT PURPOSE,PROJECT JUSTIFICATION
At the state level, we have continued to make Selfridge a top priority. Last year we invested $26 million dollars in our state budget, and this year we are
expecting to deliver another $152 million to complete this project. The Michigan House of Representatives has led this effort and advanced a significant
standalone budget plan to support the base and position it for future growth. This includes funding for the infrastructure and runway improvements needed
to bring the new fighter jets to Selfridge. We are doing our part to ensure the base remains competitive and mission-ready, and we are committed to being a
strong partner with Congressional leadership and President Trump.
That partnership is why federal support is essential. The state government stands ready to fund the runway redevelopment, while the federal government is
well-positioned to fund the maintenance complexes, hangars and other critical components. Together, we can get this done. But without timely authorization
under this plan, we risk falling behind at a moment when readiness and modernization matter more than ever.
That is why I am asking you to include these projects in the Fiscal Year 2027 NDAA and help secure Selfridge’s future. This is a smart investment in
national security, economic strength, and the long-term success of one of our country’s most strategic installations.
Thank you for your consideration and for your continued commitment to our American military and our national defense.
Sincerely,
Matt Hall
Speaker of the House"

"James, John",MI,F-15EX Maintenance Complex Phase 2,"65,000","Selfridge Air
National
Guard Base,
MI","Selfridge Air
National Guard Base","29553 George Ave,
Selfridge ANGB, MI
48045","Second phase of construction for a new 41,600-square-foot hangar/maintenance facility is under construction to
accommodate the F-15EX jets.","The Hono rable J ohn
James
1519 Longworth House Office Building
Washington, D.C. 20515-2210
Chairman Mike Rogers
House Armed Services Committee
2469 Rayburn House Office Building
Washington, D.C. 20515-2210
Re: Support for FY 2027 – Critical Infrastructure Projects for Selfridge Air National Guard Base
Rep. James and Chair Rogers,
I write to express strong support for the inclusion of the critical infrastructure projects you are currently considering at Selfridge Air National Guard Base in
the Fiscal Year 2027 National Defense Authorization Act.
Selfridge is one of Michigan’s most important military installations, and it is critical for our national defense strategy. The air mission at Selfridge protects
our northern border and supports missions around the globe. Locally, it supports thousands of jobs and drives hundreds of millions of dollars in economic
activity as a major part of a burgeoning defense industry in southeast Michigan. Supporting and growing that industry sector is also an important part of our
nation’s long-term defense strategy.
The projects under consideration are essential to modernizing Selfridge and ensuring it can support next-generation missions for years to come. Last year,
Gov. Whitmer and I met with President Trump in the Oval Office to discuss the need for a new fighter mission and federal investment into this base and its
surrounding community. And one year ago this week, President Trump responded by visiting Selfridge himself to announce the new fighter mission with F-
15EX and KC-46 aircraft and a modern development of the base’s capabilities. The projects under consideration here are one of the final pieces to moving
forward on that commitment.
At the state level, we have continued to make Selfridge a top priority. Last year we invested $26 million dollars in our state budget, and this year we are
expecting to deliver another $152 million to complete this project. The Michigan House of Representatives has led this effort and advanced a significant
standalone budget plan to support the base and position it for future growth. This includes funding for the infrastructure and runway improvements needed
to bring the new fighter jets to Selfridge. We are doing our part to ensure the base remains competitive and mission-ready, and we are committed to being a
strong partner with Congressional leadership and President Trump.
That partnership is why federal support is essential. The state government stands ready to fund the runway redevelopment, while the federal government is
well-positioned to fund the maintenance complexes, hangars and other critical components. Together, we can get this done. But without timely authorization
under this plan, we risk falling behind at a moment when readiness and modernization matter more than ever.
That is why I am asking you to include these projects in the Fiscal Year 2027 NDAA and help secure Selfridge’s future. This is a smart investment in
national security, economic strength, and the long-term success of one of our country’s most strategic installations.
Thank you for your consideration and for your continued commitment to our American military and our national defense.
Sincerely,
Matt Hall
Speaker of the House"

"James, John",MI,KC-46 ASE Complex,"43,000","Selfridge Air
National
Guard Base,
MI","Selfridge Air
National Guard Base","29553 George Ave,
Selfridge ANGB, MI
48045","Michigan to implement and modernize the facilities of Selfridge ANGB following President Trump’s Strategic
Basing Decision to station 20 F-15EXs arriving in FY28 at Selfridge in addition to the already planned bed down
of KC-46As the base is set to receive. The project is an appropriate use of taxpayer funds because the strategic
basing of the F-15EX Eagle II and KC-46A Pegasus aircraft at Selfridge Air National Guard Base is a critical
enhancement to our nation's homeland defense. To operationalize these advanced airframes and secure Selfridge's
vital role in protecting the northern border, immediate and comprehensive infrastructure modernization is
imperative.","The Honorable John James
1519 Longworth House Office Building
Washington, D.C. 20515-2210
Chairman Mike Rogers
House Armed Services Committee
2469 Rayburn House Office Building
Washington, D.C. 20515-2210
Re: Support for FY 2027 – Critical Infrastructure Projects for Selfridge Air National Guard Base
Rep. James and Chair Rogers,
I write to express strong support for the inclusion of the critical infrastructure projects you are currently considering at Selfridge Air National Guard Base in
the Fiscal Year 2027 National Defense Authorization Act.
Selfridge is one of Michigan’s most important military installations, and it is critical for our national defense strategy. The air mission at Selfridge protects
our northern border and supports missions around the globe. Locally, it supports thousands of jobs and drives hundreds of millions of dollars in economic
activity as a major part of a burgeoning defense industry in southeast Michigan. Supporting and growing that industry sector is also an important part of our
nation’s long-term defense strategy.
The projects under consideration are essential to modernizing Selfridge and ensuring it can support next-generation missions for years to come. Last year,
Gov. Whitmer and I met with President Trump in the Oval Office to discuss the need for a new fighter mission and federal investment into this base and its
surrounding community. And one year ago this week, President Trump responded by visiting Selfridge himself to announce the new fighter mission with F-
15EX and KC-46 aircraft and a modern development of the base’s capabilities. The projects under consideration here are one of the final pieces to moving
forward on that commitment.
At the state level, we have continued to make Selfridge a top priority. Last year we invested $26 million dollars in our state budget, and this year we are
expecting to deliver another $152 million to complete this project. The Michigan House of Representatives has led this effort and advanced a significant
standalone budget plan to support the base and position it for future growth. This includes funding for the infrastructure and runway improvements needed
to bring the new fighter jets to Selfridge. We are doing our part to ensure the base remains competitive and mission-ready, and we are committed to being a
strong partner with Congressional leadership and President Trump.
That partnership is why federal support is essential. The state government stands ready to fund the runway redevelopment, while the federal government is
well-positioned to fund the maintenance complexes, hangars and other critical components. Together, we can get this done. But without timely authorization
under this plan, we risk falling behind at a moment when readiness and modernization matter more than ever.
That is why I am asking you to include these projects in the Fiscal Year 2027 NDAA and help secure Selfridge’s future. This is a smart investment in
national security, economic strength, and the long-term success of one of our country’s most strategic installations.
Thank you for your consideration and for your continued commitment to our American military and our national defense.
Sincerely,
Matt Hall
Speaker of the House"

"James, John",MI,KC-46 ADAL Parking Apron,"14,000","Selfridge Air
National
Guard Base,
MI","Selfridge Air
National Guard Base","29553 George Ave,
Selfridge ANGB, MI
48045","Michigan to implement and modernize the facilities of Selfridge ANGB following President Trump’s Strategic
Basing Decision to station 20 F-15EXs arriving in FY28 at Selfridge in addition to the already planned bed down
of KC-46As the base is set to receive. The project is an appropriate use of taxpayer funds because the strategic
basing of the F-15EX Eagle II and KC-46A Pegasus aircraft at Selfridge Air National Guard Base is a critical
enhancement to our nation's homeland defense. To operationalize these advanced airframes and secure Selfridge's
vital role in protecting the northern border, immediate and comprehensive infrastructure modernization is
imperative.","The Hono rable J ohn
James
1519 Longworth House Office Building
Washington, D.C. 20515-2210
Chairman Mike Rogers
House Armed Services Committee
2469 Rayburn House Office Building
Washington, D.C. 20515-2210
Re: Support for FY 2027 – Critical Infrastructure Projects for Selfridge Air National Guard Base
Rep. James and Chair Rogers,
I write to express strong support for the inclusion of the critical infrastructure projects you are currently considering at Selfridge Air National Guard Base in
the Fiscal Year 2027 National Defense Authorization Act.
Selfridge is one of Michigan’s most important military installations, and it is critical for our national defense strategy. The air mission at Selfridge protects
our northern border and supports missions around the globe. Locally, it supports thousands of jobs and drives hundreds of millions of dollars in economic
activity as a major part of a burgeoning defense industry in southeast Michigan. Supporting and growing that industry sector is also an important part of our
nation’s long-term defense strategy.
The projects under consideration are essential to modernizing Selfridge and ensuring it can support next-generation missions for years to come. Last year,
Gov. Whitmer and I met with President Trump in the Oval Office to discuss the need for a new fighter mission and federal investment into this base and its
surrounding community. And one year ago this week, President Trump responded by visiting Selfridge himself to announce the new fighter mission with F-
15EX and KC-46 aircraft and a modern development of the base’s capabilities. The projects under consideration here are one of the final pieces to moving
forward on that commitment.
At the state level, we have continued to make Selfridge a top priority. Last year we invested $26 million dollars in our state budget, and this year we are
expecting to deliver another $152 million to complete this project. The Michigan House of Representatives has led this effort and advanced a significant
standalone budget plan to support the base and position it for future growth. This includes funding for the infrastructure and runway improvements needed
to bring the new fighter jets to Selfridge. We are doing our part to ensure the base remains competitive and mission-ready, and we are committed to being a
strong partner with Congressional leadership and President Trump.
That partnership is why federal support is essential. The state government stands ready to fund the runway redevelopment, while the federal government is
well-positioned to fund the maintenance complexes, hangars and other critical components. Together, we can get this done. But without timely authorization
under this plan, we risk falling behind at a moment when readiness and modernization matter more than ever.
That is why I am asking you to include these projects in the Fiscal Year 2027 NDAA and help secure Selfridge’s future. This is a smart investment in
national security, economic strength, and the long-term success of one of our country’s most strategic installations.
Thank you for your consideration and for your continued commitment to our American military and our national defense.
Sincerely,
Matt Hall
Speaker of the House"

"James, John",MI,MCCA KC-46 ADAL Aircrew Training Facility,"35,000","Selfridge Air
National
Guard Base,
MI","Selfridge Air
National Guard Base","29553 George Ave,
Selfridge ANGB, MI
48045","Request for funding to include modern facilities for pilot training, maintenance offices, and improved weapon
storage.","The Hono rable J oh n James
1519 Longworth House Office Building
Washington, D.C. 20515-2210
Chairman Mike Rogers
House Armed Services Committee
2469 Rayburn House Office Building
Washington, D.C. 20515-2210
Re: Support for FY 2027 – Critical Infrastructure Projects for Selfridge Air National Guard Base
Rep. James and Chair Rogers,
I write to express strong support for the inclusion of the critical infrastructure projects you are currently considering at Selfridge Air National Guard Base in
the Fiscal Year 2027 National Defense Authorization Act.
Selfridge is one of Michigan’s most important military installations, and it is critical for our national defense strategy. The air mission at Selfridge protects
our northern border and supports missions around the globe. Locally, it supports thousands of jobs and drives hundreds of millions of dollars in economic
activity as a major part of a burgeoning defense industry in southeast Michigan. Supporting and growing that industry sector is also an important part of our
nation’s long-term defense strategy.
The projects under consideration are essential to modernizing Selfridge and ensuring it can support next-generation missions for years to come. Last year,
Gov. Whitmer and I met with President Trump in the Oval Office to discuss the need for a new fighter mission and federal investment into this base and its
surrounding community. And one year ago this week, President Trump responded by visiting Selfridge himself to announce the new fighter mission with F-
15EX and KC-46 aircraft and a modern development of the base’s capabilities. The projects under consideration here are one of the final pieces to moving
forward on that commitment.
At the state level, we have continued to make Selfridge a top priority. Last year we invested $26 million dollars in our state budget, and this year we are
expecting to deliver another $152 million to complete this project. The Michigan House of Representatives has led this effort and advanced a significant
standalone budget plan to support the base and position it for future growth. This includes funding for the infrastructure and runway improvements needed
to bring the new fighter jets to Selfridge. We are doing our part to ensure the base remains competitive and mission-ready, and we are committed to being a
strong partner with Congressional leadership and President Trump.
That partnership is why federal support is essential. The state government stands ready to fund the runway redevelopment, while the federal government is
well-positioned to fund the maintenance complexes, hangars and other critical components. Together, we can get this done. But without timely authorization
under this plan, we risk falling behind at a moment when readiness and modernization matter more than ever.
That is why I am asking you to include these projects in the Fiscal Year 2027 NDAA and help secure Selfridge’s future. This is a smart investment in
national security, economic strength, and the long-term success of one of our country’s most strategic installations.
Thank you for your consideration and for your continued commitment to our American military and our national defense.
Sincerely,
Matt Hall
Speaker of the House"

"James, John",MI,MCCA KC-46 ADAL SQ OPS B17,"38,000","Selfridge Air
National
Guard Base,
MI","Selfridge Air
National Guard Base","29553 George Ave,
Selfridge ANGB, MI
48045","We are seeking professional architectural and engineering services for the MCCA KC-46 ADAL Squadron
Operations B17 project at Selfridge Air National Guard Base, Michigan. The goal is to design and construct a
facility that supports the KC-46 mission, ensuring compliance with DoD Unified Facilities Criteria and addressing
current inadequacies in existing facilities.","The Honorable John James
1519 Longworth House Office Building
Washington, D.C. 20515-2210
Chairman Mike Rogers
House Armed Services Committee
2469 Rayburn House Office Building
Washington, D.C. 20515-2210
Re: Support for FY 2027 – Critical Infrastructure Projects for Selfridge Air National Guard Base
Rep. James and Chair Rogers,
I write to express strong support for the inclusion of the critical infrastructure projects you are currently considering at Selfridge Air National Guard Base in
the Fiscal Year 2027 National Defense Authorization Act.
Selfridge is one of Michigan’s most important military installations, and it is critical for our national defense strategy. The air mission at Selfridge protects
our northern border and supports missions around the globe. Locally, it supports thousands of jobs and drives hundreds of millions of dollars in economic
activity as a major part of a burgeoning defense industry in southeast Michigan. Supporting and growing that industry sector is also an important part of our
nation’s long-term defense strategy.
The projects under consideration are essential to modernizing Selfridge and ensuring it can support next-generation missions for years to come. Last year,
Gov. Whitmer and I met with President Trump in the Oval Office to discuss the need for a new fighter mission and federal investment into this base and its
surrounding community. And one year ago this week, President Trump responded by visiting Selfridge himself to announce the new fighter mission with F-
15EX and KC-46 aircraft and a modern development of the base’s capabilities. The projects under consideration here are one of the final pieces to moving
forward on that commitment.
At the state level, we have continued to make Selfridge a top priority. Last year we invested $26 million dollars in our state budget, and this year we are
expecting to deliver another $152 million to complete this project. The Michigan House of Representatives has led this effort and advanced a significant
standalone budget plan to support the base and position it for future growth. This includes funding for the infrastructure and runway improvements needed
to bring the new fighter jets to Selfridge. We are doing our part to ensure the base remains competitive and mission-ready, and we are committed to being a
strong partner with Congressional leadership and President Trump.
That partnership is why federal support is essential. The state government stands ready to fund the runway redevelopment, while the federal government is
well-positioned to fund the maintenance complexes, hangars and other critical components. Together, we can get this done. But without timely authorization
under this plan, we risk falling behind at a moment when readiness and modernization matter more than ever.
That is why I am asking you to include these projects in the Fiscal Year 2027 NDAA and help secure Selfridge’s future. This is a smart investment in
national security, economic strength, and the long-term success of one of our country’s most strategic installations.
Thank you for your consideration and for your continued commitment to our American military and our national defense.
Sincerely,
Matt Hall
Speaker of the House"

"James, John",MI,KC-46 Dual Bay Hangar,"212,000","Selfridge Air
National
Guard Base,
MI","Selfridge Air
National Guard Base","29553 George Ave,
Selfridge ANGB, MI
48045","Selfridge Air National Guard Base (ANGB) is preparing to host a squadron of 12 KC-46A Pegasus tankers by
2029-2030, which requires significant infrastructure upgrades. As part of these upgrades, existing infrastructure
needs to be modified to accommodate the new aircraft, involving the renovation of an existing maintenance hangar
to support the new mission.","The Hono rable J oh n James
1519 Longworth House Office Building
Washington, D.C. 20515-2210
Chairman Mike Rogers
House Armed Services Committee
2469 Rayburn House Office Building
Washington, D.C. 20515-2210
Re: Support for FY 2027 – Critical Infrastructure Projects for Selfridge Air National Guard Base
Rep. James and Chair Rogers,
I write to express strong support for the inclusion of the critical infrastructure projects you are currently considering at Selfridge Air National Guard Base in
the Fiscal Year 2027 National Defense Authorization Act.
Selfridge is one of Michigan’s most important military installations, and it is critical for our national defense strategy. The air mission at Selfridge protects
our northern border and supports missions around the globe. Locally, it supports thousands of jobs and drives hundreds of millions of dollars in economic
activity as a major part of a burgeoning defense industry in southeast Michigan. Supporting and growing that industry sector is also an important part of our
nation’s long-term defense strategy.
The projects under consideration are essential to modernizing Selfridge and ensuring it can support next-generation missions for years to come. Last year,
Gov. Whitmer and I met with President Trump in the Oval Office to discuss the need for a new fighter mission and federal investment into this base and its
surrounding community. And one year ago this week, President Trump responded by visiting Selfridge himself to announce the new fighter mission with F-
15EX and KC-46 aircraft and a modern development of the base’s capabilities. The projects under consideration here are one of the final pieces to moving
forward on that commitment.
At the state level, we have continued to make Selfridge a top priority. Last year we invested $26 million dollars in our state budget, and this year we are
expecting to deliver another $152 million to complete this project. The Michigan House of Representatives has led this effort and advanced a significant
standalone budget plan to support the base and position it for future growth. This includes funding for the infrastructure and runway improvements needed
to bring the new fighter jets to Selfridge. We are doing our part to ensure the base remains competitive and mission-ready, and we are committed to being a
strong partner with Congressional leadership and President Trump.
That partnership is why federal support is essential. The state government stands ready to fund the runway redevelopment, while the federal government is
well-positioned to fund the maintenance complexes, hangars and other critical components. Together, we can get this done. But without timely authorization
under this plan, we risk falling behind at a moment when readiness and modernization matter more than ever.
That is why I am asking you to include these projects in the Fiscal Year 2027 NDAA and help secure Selfridge’s future. This is a smart investment in
national security, economic strength, and the long-term success of one of our country’s most strategic installations.
Thank you for your consideration and for your continued commitment to our American military and our national defense.
Sincerely,
Matt Hall
Speaker of the House"

"James, John",MI,F-15EX Maintenance Complex Phase 1,"65,000","Selfridge
ANGB, MI","Selfridge Air
National Guard Base","29553 George Ave,
Selfridge ANGB, MI
48045","A new 41,600-square-foot hangar/maintenance facility is under construction to accommodate the F-15EX jets.","The Hono rable J ohn
James
1519 Longworth House Office Building
Washington, D.C. 20515-2210
Chairman Mike Rogers
House Armed Services Committee
2469 Rayburn House Office Building
Washington, D.C. 20515-2210
Re: Support for FY 2027 – Critical Infrastructure Projects for Selfridge Air National Guard Base
Rep. James and Chair Rogers,
I write to express strong support for the inclusion of the critical infrastructure projects you are currently considering at Selfridge Air National Guard Base in
the Fiscal Year 2027 National Defense Authorization Act.
Selfridge is one of Michigan’s most important military installations, and it is critical for our national defense strategy. The air mission at Selfridge protects
our northern border and supports missions around the globe. Locally, it supports thousands of jobs and drives hundreds of millions of dollars in economic
activity as a major part of a burgeoning defense industry in southeast Michigan. Supporting and growing that industry sector is also an important part of our
nation’s long-term defense strategy.
The projects under consideration are essential to modernizing Selfridge and ensuring it can support next-generation missions for years to come. Last year,
Gov. Whitmer and I met with President Trump in the Oval Office to discuss the need for a new fighter mission and federal investment into this base and its
surrounding community. And one year ago this week, President Trump responded by visiting Selfridge himself to announce the new fighter mission with F-
15EX and KC-46 aircraft and a modern development of the base’s capabilities. The projects under consideration here are one of the final pieces to moving
forward on that commitment.
At the state level, we have continued to make Selfridge a top priority. Last year we invested $26 million dollars in our state budget, and this year we are
expecting to deliver another $152 million to complete this project. The Michigan House of Representatives has led this effort and advanced a significant
standalone budget plan to support the base and position it for future growth. This includes funding for the infrastructure and runway improvements needed
to bring the new fighter jets to Selfridge. We are doing our part to ensure the base remains competitive and mission-ready, and we are committed to being a
strong partner with Congressional leadership and President Trump.
That partnership is why federal support is essential. The state government stands ready to fund the runway redevelopment, while the federal government is
well-positioned to fund the maintenance complexes, hangars and other critical components. Together, we can get this done. But without timely authorization
under this plan, we risk falling behind at a moment when readiness and modernization matter more than ever.
That is why I am asking you to include these projects in the Fiscal Year 2027 NDAA and help secure Selfridge’s future. This is a smart investment in
national security, economic strength, and the long-term success of one of our country’s most strategic installations.
Thank you for your consideration and for your continued commitment to our American military and our national defense.
Sincerely,
Matt Hall
Speaker of the House"

"Johnson, Mike",LA,JRTC Rotational Unit Billeting Area,"55,000","Fort Polk
South, LA",Fort Polk,"7033 Magnolia Drive,
Building 4919, Fort
Polk South, LA 71459","I am requesting $55M in funding for the construction of a new Rotational Unit Billeting Area (RUBA) at Fort Polk
in Fiscal Year 2027. The entity to receive funding for this project is Fort Polk, located at 7033 Magnolia Drive,
Building 4919, Fort Polk South, LA 71459. The funding would be used to construct the first phase of a new RUBA
at Fort Polk. It is on the recently released FY27 Army Unfunded Priority List under reference #II-0642.","This pr oject  is  an appropriate and  necessary use of taxpayer funds as the existing RUBA is severely dilapidated
and nearly unusable. Investing in a new RUBA at Fort Polk would ensure that deploying and training units have
modern, resilient housing that supports readiness for large-scale combat operations. Updated billeting facilities
would improve quality of life for rotational soldiers, reduce maintenance costs associated with aging infrastructure,
and enhance Fort Polk's ability to host high-tempo, multi-domain training events year-round."

"Kiggans, Jennifer A.",VA,Ambulatory Care Clinic (ACC) Replacement,"118,000","Norfolk, VA","Norfolk Public
Shipyard","Building 1500,
Portsmouth, VA 23709-
1022","The Ambulatory Care Clinic in Norfolk Naval Shipyard serves as a primary medical facility for emergency care in
within Norfolk Naval Shipyard","The aging Ambulatory Care Clinic has not been replaced in decades, and the facility must be replaced to ensure that
emergency care can be delivered within the facility at a reasonable standard."

"Kiggans, Jennifer A.",VA,Eod Expeditionary Mine Countermeasures Facility,"112,980","Virginia
Beach, VA","JEB Little Creek-
Fort Story","2600 Tarawa Ct Ste
100, Virginia Beach,
VA 23459","EOD Mine Countermeasures are an essential capability for Naval supremacy. This new facility will allow for the
continued dominance of US Navy EOD Mine countermeasures.","This facility will allow Expeditionary EOD to develop the next generation of countermine capabilities for the joint
force."

"Lee, Susie",NV,"RPA RECONNAISSANCE
OPERATIONS/TRAINING FACILITY","36,000","Indian Springs,
NV","Creech Air Force
Base","Second St, Building 24,
Room 220
Creech AFB, NV 89018","The funding would be used for the construction of a Remotely Piloted Aircraft (RPA) Reconnaissance Operations /
Training Facility at Creech Air Force Base (Creech AFB). The project is an appropriate use of taxpayer funds
because Creech AFB regularly conducts approximately 50,000 RPA takeoffs and landings per year.","The 44th Reconnaissance Squadron operates on the installation out of three aging inadequate facilities and two
temporary trailers. This lack of centralization decreases the ability of the organization to operate, maintain its
support commitments, and capture synergies among its individual sections. The RPA Reconnaissance Operations /
Training Facility would house Command Staff, Operations, Mission Planning, Scheduling, Standards and
Evaluation, Test, Communications, Security, and administrative personnel from the 44th Reconnaissance Squadron.
This facility will restructure, expand, and centralize operations throughout the unit thereby capturing the maximum
number of organizational synergies for continued global reconnaissance operations."

"Lee, Susie",NV,Mission Support Facility,"55,000","Indian Springs,
NV","Creech Air Force
Base","Second St, Building 24,
Room 220
Creech AFB, NV 89018","The funding would be used for the construction of a Mission Support Facility at Creech Air Force Base (Creech AFB). The project is an
appropriate use of taxpayer funds because currently, inadequate facilities adversely impact the ability of Creech AFB to support the needs of
the Airmen and their family members stationed there.","In many cases, Airmen must travel to Nellis Air Force Base, 50 miles away, to receive critical support service
functions. This harms unit readiness and morale. The new Mission Support Facility would provide a permanent,
consolidated facility for the 432d Mission Support Group (432 MSG) and 432d Support Squadron (432 SPTS) in
support of mission and support services for all personnel on Creech AFB. The facility would also house many
functions, including Group leadership, 432d Support Squadron Headquarters and Operations, Financial
Management, Law Center, Military Personnel Flight, Airman and Family Readiness Center (A&FRC), and
Education Center. The building would also provide a base-wide conference area, meeting space, and classrooms."

"Messmer, Mark B.",IN,"181st Entry Control Point (Security Upgrades) at Hulman
Field Air National Guard Base","5,000","Terra Haute,
IN","Indiana National
Guard 181st
Intelligence Wing","800 South Petercheff
Street, Terre Haute, IN
47803","Brings installation into security compliance; defends installation, infrastructure, Top Secret networks, and Airmen
against evolving multi-domain threats from pacing challenges.","Will help keep the wing as viable part of US national security strategy. The base has roughly 300 full time
employees and 1,000 total military assigned."

"Moylan, James C.",GU,National Guard Readiness Center Alteration,"20,000","Barrigada, GU",CFMO GU,"430 16 Bldg 300,
Barrigada, 96913,
Guam","A specially designed National Guard Readiness Center of permanent construction. The National Guard Readiness
Center includes the following items that are integral to the facility: Backup/Emergency Generator, Unheated
Military Vehicle Storage, Detached General Purpose Training Bay, Organizational Parking (Paved), Enhanced
ATFP, Sustainability and Energy Measures and Cybersecurity. Comprehensive interior design services are
requested. This facility will be designed to meet Industry Standards as well as all local, State, and Federal building
codes and as per 42 U.S. Code 4154. Construction will include all utility services, information systems, fire
detection and alarm systems, roads, walks, curbs, gutters, storm drainage, parking areas and site improvements.
Facilities will be designed to a minimum life of 50 years in accordance with DoD's Unified Facilities Code (UFC 1-
200-02) including energy efficiencies, building envelope and integrated building systems performance as per
ASA(IE&E) Sustainable Design and Development Policy updated 2017. Access for individuals with disabilities
will be provided. Antiterrorism measures in accordance with the DoD Minimum Antiterrorism for building
standards will be provided. This project will comply with the Army 1 SQFT for 1 SQFT disposal policy through
the disposal of 210,954 SQFT.","The project is an appropriate use of taxpayer funds because the project will improve military readiness in Guam.
This project has a Federal nexus because it is for the purposes authorized in 10 U.S.C. Chapter 169."

"Moylan, James C.",GU,PDI: Defense Access Roads III,"55,000","Dededo, GU","NAVFAC HQ
MILCON Program
Manager","PSC 455 Box 211, FPO
AP, Guam, 96540","This is a Defense Access Roads (DAR) project.
Constructs a single lane roundabout at Potts Junction. Proposed construction includes
removal and replacement of existing pavement as well as installation of new pavement.
Constructs concrete bridges to replace existing bridges in same locations along Route 1,
between Naval Base Guam and Finegayan Cantonment. Work for replacement of bridges includes
demolition of existing brdges and construction of new vehicle bridges.
Constructs strengthened roadways along Routes 1 and 3 to protect existing buried and
surface utilities. Work for minimizing impacts on the utilities includes strengthening the
pavement for one lane of travel in each direction. Pavement strengthening will consist of
thickened asphalt, aggregate base course, subbase and geogrid. Manholes, vaults and
surface utilities will be retrofitted or replaced as necessary.","The 2009 Guam International Agreement was amended in October 2013 between the US
Government and the Government of Japan. The agreement outlines the realignment of Marine
Corps forces to reduce US military footprint in Okinawa, including the relocation of
forces from Japan to Guam. The Guam Master Plan was completed in June 2014 to ensure all
operational, base support, training, quality of life requirements, support facilities and
infrastructure were identified. This relocation will require the Marine Corps to transport
heavy equipment and vehicles to/from Naval Base Guam and the Finegayan Main Cantonment.
Routes 1 and 3 provide the most efficient connection between Naval Base Guam and Finegayan
Main Cantonment.
The heavy equipment being routed through Routes 1 and 3 exceed the structural design loads
for which they were originally designed/intended. Additionally, Routes 1 and 3 have
utilities that are susceptible to damage from these heavy equipment loads. Furthermore,
Routes 3 and 9 are rural minor arterial roadways that intersect with each other at Route
3A to form a wye-intersection known as Potts Junction.
This project will support road and bridge improvements needed for the operation of Marine
Corps main base and training facilities."

"Murphy, Gregory F.",NC,"P1546 - Amphibious Combat Vehicle (ACV) Operational
Facilities","24,140","Jacksonville,
NC","USMC, Marine
Corps Installations -
East","1 Holcomb Blvd.
Camp Lejeune
NC  28547","This project provides essential preservation and maintenance facilities for the 2d Assault Amphibian Battalion (2d
AABn) at Marine Corps Base Camp Lejeune to support the fielding of the new Amphibious Combat Vehicle
(ACV). The project directly supports Force Design by providing ninety-two (92) climate-resilient vehicle shelters,
covered storage for Rigid Inflatable Boats (RIBs), and dedicated vehicle wash facilities. These facilities are
required to protect high-value, mission-critical assets from climate-related degradation, mitigate premature
equipment failure, and ensure the battalion can meet its operational commitments. This project is a critical
unfunded priority to safeguard the Marine Corps' capital investment in the next-generation ACV platform and
sustain associated maritime assets. This MILCON is fully designed and can be awarded within three months after
funds receipt.","This project provides essential preservation and maintenance facilities for the 2d Assault Amphibian Battalion (2d
AABn) at Marine Corps Base Camp Lejeune to support the fielding of the new Amphibious Combat Vehicle
(ACV). The project directly supports Force Design by providing ninety-two (92) climate-resilient vehicle shelters,
covered storage for Rigid Inflatable Boats (RIBs), and dedicated vehicle wash facilities. These facilities are
required to protect high-value, mission-critical assets from climate-related degradation, mitigate premature
equipment failure, and ensure the battalion can meet its operational commitments. This project is a critical unfunded
priority to safeguard the Marine Corps' capital investment in the next-generation ACV platform and sustain
associated maritime assets. This MILCON is fully designed and can be awarded within three months after funds
receipt."

"Patronis, Jimmy",FL,Design Whiting Field Child Development Center,"4,140","Milton, FL",Whiting Field,"7550 USS Essex St,
Milton, Florida 32570",Design Study for Replacement CDC at Naval Air Station Whiting Field,"The project is an appropriate use of taxpayer funds because the existing center is housed in an 80-year-old former
storage facility that can no longer meet the growing demand for childcare at the installation."

"Rogers, Mike",AL,Consolidated Shipping and Receiving Facility,"54,000","Anniston
Army Depot
Alabama, AL","Anniston Army
Depot Alabama","7 Frankford Ave,
Anniston, AL 36201","Construct a consolidated shipping center for non-compatible munitions consisting of a shipping facility, container
loading/shipping pad, and truck scale. The shipping center includes: secure staging bays, receiving/processing bays
and one shop area bay; covered loading docks; and a Government Bill of Lading processing/quality assurance area,
including an isolated truck receiving area with latrines and break area. Work will include connection to the Energy
Monitoring and Control Systems (EMCS), fire alarm detection and suppression systems, building information
systems, and installation of Intrusion Detection Systems (IDS). Supporting facilities include site development, site
improvements, utilities, electric service, exterior lighting, fencing, lightning protection, paving, access roads,
parking, storm drainage, information systems, and site improvements. Heating and air conditioning will be provided
by self contained units. Measures in accordance with the Department of Defense (DoD) Minimum Antiterrorism for
Buildings standards will be provided. Facilities will be designed to a minimum life of 50 years in accordance with
DoD's Unified Facilities Code (UFC 1-200-02) including energy efficiencies, building envelope and integrated
building systems performance. Sustainability and Energy measures will be provided. Access for individuals with
disabilities will be provided. Comprehensive building and furnishings related interior design services are required.
Air Conditioning (Estimated 3 Tons). Facilities will be designed to a minimum life of 40 years in accordance with
