member_name_last_first,state,party,amount_requested_in_thousands_of_dollars,fiscal_year
"Davis, Donald",NC,Democratic,41000,2026
"DesJarlais, Scott",TN,Republican,91000,2026
"DesJarlais, Scott",TN,Republican,40000,2026
"DesJarlais, Scott",TN,Republican,20000,2026
"DesJarlais, Scott",TN,Republican,55000,2026
"Ellzey, Jake",TX,Republican,50000,2026
"Feenstra, Randy",IA,Republican,77000,2026
"Fong, Vince",CA,Republican,5000,2026
"Fong, Vince",CA,Republican,1876,2026
"Gimenez, Carlos A.",FL,Republican,90000,2026
"DesJarlais, Scott",TN,Republican,20000,2026
"DesJarlais, Scott",TN,Republican,55000,2026
"Ellzey, Jake",TX,Republican,50000,2026
"Feenstra, Randy",IA,Republican,77000,2026
"Fong, Vince",CA,Republican,5000,2026
"Fong, Vince",CA,Republican,1876,2026
"Gimenez, Carlos A.",FL,Republican,90000,2026
"Gonzales, Tony",TX,Republican,5000,2026
"Guthrie, Brett",KY,Republican,138000,2026
"Hudson, Richard",NC,Republican,81000,2026
"Hudson, Richard",NC,Republican,44700,2026
"Hudson, Richard",NC,Republican,49000,2026
"Jacobs, Sara",CA,Democratic,67690,2026
"Kiggans, Jennifer A.",VA,Republican,12000,2026
"Kiggans, Jennifer A.",VA,Republican,15000,2026
"Loudermilk, Barry",GA,Republican,3200,2026
"Gonzales, Tony",TX,Republican,5000,2026
"Guthrie, Brett",KY,Republican,138000,2026
"Hudson, Richard",NC,Republican,81000,2026
"Hudson, Richard",NC,Republican,44700,2026
"Hudson, Richard",NC,Republican,49000,2026
"Jacobs, Sara",CA,Democratic,67690,2026
"Kiggans, Jennifer A.",VA,Republican,12000,2026
"Kiggans, Jennifer A.",VA,Republican,15000,2026
"Loudermilk, Barry",GA,Republican,3200,2026
"Moore, Blake D.",UT,Republican,59000,2026
"Moylan, James C.",GU,Republican,241880,2026
"Olszewski, Johnny,Jr.",MD,Democratic,2000,2026
"Rogers, Mike",AL,Republican,89000,2026
"Rogers, Mike",AL,Republican,32000,2026
"Moore, Blake D.",UT,Republican,59000,2026
"Moylan, James C.",GU,Republican,241880,2026
"Olszewski, Johnny,Jr.",MD,Democratic,2000,2026
"Rogers, Mike",AL,Republican,89000,2026
"Rogers, Mike",AL,Republican,32000,2026
"Rutherford, John H.",FL,Republican,265150,2026
"Rutherford, John H.",FL,Republican,82140,2026
"Rutherford, John H.",FL,Republican,374660,2026
"Rutherford, John H.",FL,Republican,45750,2026
"Strickland, Marilyn",WA,Democratic,2800,2026
"Strickland, Marilyn",WA,Democratic,68095,2026
"Van Drew, Jefferson",NJ,Republican,68000,2026
"Wittman, Robert J.",VA,Republican,2200,2026
"Rutherford, John H.",FL,Republican,82140,2026
"Rutherford, John H.",FL,Republican,374660,2026
"Rutherford, John H.",FL,Republican,45750,2026
"Strickland, Marilyn",WA,Democratic,2800,2026
"Strickland, Marilyn",WA,Democratic,68095,2026
"Van Drew, Jefferson",NJ,Republican,68000,2026
"Wittman, Robert J.",VA,Republican,2200,2026
